ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",60313,9595,"Census Tract 31.02, Peoria County, IL","14000US17143003102"
2017,"2017",0,"Total",21846,3673.0000000000005,"Census Tract 50, Peoria County, IL","14000US17143005000"
2017,"2017",0,"Total",27850,4862,"Census Tract 2, Peoria County, IL","14000US17143000200"
2017,"2017",0,"Total",37628,7426.000000000001,"Census Tract 41.02, Peoria County, IL","14000US17143004102"
2017,"2017",0,"Total",23043,8196,"Census Tract 3, Peoria County, IL","14000US17143000300"
2017,"2017",0,"Total",88848,6678,"Census Tract 41.01, Peoria County, IL","14000US17143004101"
2017,"2017",0,"Total",17269,6774,"Census Tract 5, Peoria County, IL","14000US17143000500"
2017,"2017",0,"Total",30558,5297,"Census Tract 6, Peoria County, IL","14000US17143000600"
2017,"2017",0,"Total",98250,13198,"Census Tract 34.02, Peoria County, IL","14000US17143003402"
2017,"2017",0,"Total",11596,2640,"Census Tract 9, Peoria County, IL","14000US17143000900"
2017,"2017",0,"Total",88842,11538,"Census Tract 34.01, Peoria County, IL","14000US17143003401"
2017,"2017",0,"Total",16659,3221,"Census Tract 12, Peoria County, IL","14000US17143001200"
2017,"2017",0,"Total",17390,2242,"Census Tract 13, Peoria County, IL","14000US17143001300"
2017,"2017",0,"Total",50396,14074.999999999998,"Census Tract 32, Peoria County, IL","14000US17143003200"
2017,"2017",0,"Total",23938,8133,"Census Tract 15, Peoria County, IL","14000US17143001500"
2017,"2017",0,"Total",19625,8143,"Census Tract 1, Peoria County, IL","14000US17143000100"
2017,"2017",0,"Total",28750,6109,"Census Tract 16, Peoria County, IL","14000US17143001600"
2017,"2017",0,"Total",33620,5058,"Census Tract 18, Peoria County, IL","14000US17143001800"
2017,"2017",0,"Total",72854,10706,"Census Tract 31.01, Peoria County, IL","14000US17143003101"
2017,"2017",0,"Total",46731,7788,"Census Tract 19, Peoria County, IL","14000US17143001900"
2017,"2017",0,"Total",66523,6837,"Census Tract 30, Peoria County, IL","14000US17143003000"
2017,"2017",0,"Total",84318,14407,"Census Tract 20, Peoria County, IL","14000US17143002000"
2017,"2017",0,"Total",32981,7018,"Census Tract 21, Peoria County, IL","14000US17143002100"
2017,"2017",0,"Total",45313,7774.999999999999,"Census Tract 28, Peoria County, IL","14000US17143002800"
2017,"2017",0,"Total",43413,4298,"Census Tract 22, Peoria County, IL","14000US17143002200"
2017,"2017",0,"Total",45395,7277,"Census Tract 27.02, Peoria County, IL","14000US17143002702"
2017,"2017",0,"Total",57173,6141,"Census Tract 23, Peoria County, IL","14000US17143002300"
2017,"2017",0,"Total",47639,9721,"Census Tract 27.01, Peoria County, IL","14000US17143002701"
2017,"2017",0,"Total",47639,13096,"Census Tract 24, Peoria County, IL","14000US17143002400"
2017,"2017",0,"Total",38036,6585,"Census Tract 25, Peoria County, IL","14000US17143002500"
2017,"2017",0,"Total",57902,10262,"Census Tract 26, Peoria County, IL","14000US17143002600"
2016,"2016",0,"Total",12474,8703,"Census Tract 1, Peoria County, IL","14000US17143000100"
2016,"2016",0,"Total",22121,7238,"Census Tract 3, Peoria County, IL","14000US17143000300"
2016,"2016",0,"Total",63266,7200,"Census Tract 31.02, Peoria County, IL","14000US17143003102"
2016,"2016",0,"Total",29762,5547,"Census Tract 18, Peoria County, IL","14000US17143001800"
2016,"2016",0,"Total",97875,10647,"Census Tract 34.02, Peoria County, IL","14000US17143003402"
2016,"2016",0,"Total",12247,2403,"Census Tract 9, Peoria County, IL","14000US17143000900"
2016,"2016",0,"Total",74132,5694,"Census Tract 31.01, Peoria County, IL","14000US17143003101"
2016,"2016",0,"Total",44844,14637.999999999998,"Census Tract 19, Peoria County, IL","14000US17143001900"
2016,"2016",0,"Total",29773,6790.000000000001,"Census Tract 2, Peoria County, IL","14000US17143000200"
2016,"2016",0,"Total",53897,9015,"Census Tract 26, Peoria County, IL","14000US17143002600"
2016,"2016",0,"Total",67000,28037,"Census Tract 20, Peoria County, IL","14000US17143002000"
2016,"2016",0,"Total",16337,3898,"Census Tract 12, Peoria County, IL","14000US17143001200"
2016,"2016",0,"Total",61360,5038,"Census Tract 30, Peoria County, IL","14000US17143003000"
2016,"2016",0,"Total",31653,6345,"Census Tract 21, Peoria County, IL","14000US17143002100"
2016,"2016",0,"Total",21582,4068.0000000000005,"Census Tract 5, Peoria County, IL","14000US17143000500"
2016,"2016",0,"Total",87388,5807,"Census Tract 34.01, Peoria County, IL","14000US17143003401"
2016,"2016",0,"Total",45849,5056,"Census Tract 28, Peoria County, IL","14000US17143002800"
2016,"2016",0,"Total",40650,4426,"Census Tract 22, Peoria County, IL","14000US17143002200"
2016,"2016",0,"Total",18815,3083,"Census Tract 13, Peoria County, IL","14000US17143001300"
2016,"2016",0,"Total",20942,2254,"Census Tract 50, Peoria County, IL","14000US17143005000"
2016,"2016",0,"Total",41940,7146,"Census Tract 27.02, Peoria County, IL","14000US17143002702"
2016,"2016",0,"Total",56350,8988,"Census Tract 23, Peoria County, IL","14000US17143002300"
2016,"2016",0,"Total",83889,14536,"Census Tract 41.01, Peoria County, IL","14000US17143004101"
2016,"2016",0,"Total",44457,11878,"Census Tract 32, Peoria County, IL","14000US17143003200"
2016,"2016",0,"Total",52948,13986,"Census Tract 24, Peoria County, IL","14000US17143002400"
2016,"2016",0,"Total",27599,6349,"Census Tract 15, Peoria County, IL","14000US17143001500"
2016,"2016",0,"Total",41462,8681,"Census Tract 27.01, Peoria County, IL","14000US17143002701"
2016,"2016",0,"Total",35291,8285,"Census Tract 25, Peoria County, IL","14000US17143002500"
2016,"2016",0,"Total",26591,7201,"Census Tract 6, Peoria County, IL","14000US17143000600"
2016,"2016",0,"Total",43676,15181.999999999998,"Census Tract 41.02, Peoria County, IL","14000US17143004102"
2016,"2016",0,"Total",27225,6724,"Census Tract 16, Peoria County, IL","14000US17143001600"
2015,"2015",0,"Total",52305,23884,"Census Tract 20, Peoria County, IL","14000US17143002000"
2015,"2015",0,"Total",15129,3211,"Census Tract 9, Peoria County, IL","14000US17143000900"
2015,"2015",0,"Total",27696,3917,"Census Tract 15, Peoria County, IL","14000US17143001500"
2015,"2015",0,"Total",30093,7924.999999999999,"Census Tract 2, Peoria County, IL","14000US17143000200"
2015,"2015",0,"Total",60000,5342,"Census Tract 30, Peoria County, IL","14000US17143003000"
2015,"2015",0,"Total",28090,7480.999999999999,"Census Tract 21, Peoria County, IL","14000US17143002100"
2015,"2015",0,"Total",27071,9035,"Census Tract 3, Peoria County, IL","14000US17143000300"
2015,"2015",0,"Total",50758,14199.999999999998,"Census Tract 32, Peoria County, IL","14000US17143003200"
2015,"2015",0,"Total",96086,10305,"Census Tract 34.02, Peoria County, IL","14000US17143003402"
2015,"2015",0,"Total",27009,4281,"Census Tract 16, Peoria County, IL","14000US17143001600"
2015,"2015",0,"Total",41475,2979,"Census Tract 22, Peoria County, IL","14000US17143002200"
2015,"2015",0,"Total",15585,2966,"Census Tract 1, Peoria County, IL","14000US17143000100"
2015,"2015",0,"Total",18478,5646,"Census Tract 12, Peoria County, IL","14000US17143001200"
2015,"2015",0,"Total",43162,6486,"Census Tract 28, Peoria County, IL","14000US17143002800"
2015,"2015",0,"Total",82208,16053.999999999998,"Census Tract 41.01, Peoria County, IL","14000US17143004101"
2015,"2015",0,"Total",61370,5118,"Census Tract 31.02, Peoria County, IL","14000US17143003102"
2015,"2015",0,"Total",31236,3612.0000000000005,"Census Tract 18, Peoria County, IL","14000US17143001800"
2015,"2015",0,"Total",30154,6254,"Census Tract 6, Peoria County, IL","14000US17143000600"
2015,"2015",0,"Total",39358,8096,"Census Tract 27.02, Peoria County, IL","14000US17143002702"
2015,"2015",0,"Total",62089,9891,"Census Tract 23, Peoria County, IL","14000US17143002300"
2015,"2015",0,"Total",51851,8761,"Census Tract 24, Peoria County, IL","14000US17143002400"
2015,"2015",0,"Total",80599,9911,"Census Tract 34.01, Peoria County, IL","14000US17143003401"
2015,"2015",0,"Total",19063,3210,"Census Tract 13, Peoria County, IL","14000US17143001300"
2015,"2015",0,"Total",55350,10220,"Census Tract 19, Peoria County, IL","14000US17143001900"
2015,"2015",0,"Total",32315,9848,"Census Tract 27.01, Peoria County, IL","14000US17143002701"
2015,"2015",0,"Total",32355,3997.0000000000005,"Census Tract 25, Peoria County, IL","14000US17143002500"
2015,"2015",0,"Total",37241,11297,"Census Tract 41.02, Peoria County, IL","14000US17143004102"
2015,"2015",0,"Total",20031,2934,"Census Tract 50, Peoria County, IL","14000US17143005000"
2015,"2015",0,"Total",74375,7841,"Census Tract 31.01, Peoria County, IL","14000US17143003101"
2015,"2015",0,"Total",20304,4808,"Census Tract 5, Peoria County, IL","14000US17143000500"
2015,"2015",0,"Total",53359,9656,"Census Tract 26, Peoria County, IL","14000US17143002600"
2014,"2014",0,"Total",27589,5833,"Census Tract 16, Peoria County, IL","14000US17143001600"
2014,"2014",0,"Total",51782,5334,"Census Tract 26, Peoria County, IL","14000US17143002600"
2014,"2014",0,"Total",26250,10255,"Census Tract 2, Peoria County, IL","14000US17143000200"
2014,"2014",0,"Total",40000,8971,"Census Tract 27.01, Peoria County, IL","14000US17143002701"
2014,"2014",0,"Total",33799,4613,"Census Tract 25, Peoria County, IL","14000US17143002500"
2014,"2014",0,"Total",17692,3172,"Census Tract 50, Peoria County, IL","14000US17143005000"
2014,"2014",0,"Total",56250,5576,"Census Tract 24, Peoria County, IL","14000US17143002400"
2014,"2014",0,"Total",31131,12146,"Census Tract 3, Peoria County, IL","14000US17143000300"
2014,"2014",0,"Total",38750,8190,"Census Tract 27.02, Peoria County, IL","14000US17143002702"
2014,"2014",0,"Total",34325,4348,"Census Tract 41.02, Peoria County, IL","14000US17143004102"
