ca_yr,yr,x,y_cat,data_type
2012,70,-2813,-1322000,T
2011,69,-96248,-1322000,T
2013,71,-74741,-1322000,T
2012,70,-108721,-1322000,T
2013,71,-113683,-1322000,T
2011,69,-7573,-1322000,T
2011,69,-54239,-1322000,T
2012,70,-208804,-1322000,T
2012,70,-177636,-1322000,T
2012,70,-106011,-1322000,T
2011,69,-243105,-1322000,T
2011,69,-134732,-1322000,T
2011,69,-67153,-1322000,T
2013,71,-107617,-1322000,T
2010,68,-56437,-1322000,T
2010,68,-51662,-1322000,T
2012,70,-137431,-1322000,T
2013,71,-250105,-1322000,T
2013,71,-188468,-1322000,T
2012,70,-102680,-1322000,T
2011,69,-94449,-1322000,T
2012,70,25282,-1322000,T
2012,70,-10095,-1322000,T
2013,71,-121529,-1322000,T
2011,69,-61003,-1322000,T
2011,69,-55348,-1322000,T
2014,72,-74475,-1322000,T
2016,74,-116105,-1322000,T
2014,72,-100264,-1322000,T
2016,74,-113081,-1322000,T
2014,72,-155,-1322000,T
2015,73,-93917,-1322000,T
2014,72,-124522,-1322000,T
2015,73,-82606,-1322000,T
2012,70,-95366,-1322000,T
2013,71,-50381,-1322000,T
2013,71,-63050,-1322000,T
2014,72,-53490,-1322000,T
2014,72,-54059,-1322000,T
2013,71,16160,-1322000,T
2013,71,-271400,-1322000,T
2013,71,-251270,-1322000,T
2013,71,-147903,-1322000,T
2012,70,-3011,-1322000,T
2015,73,-73127,-1322000,T
2015,73,-55248,-1322000,T
2015,73,-87040,-1322000,T
2015,73,-56874,-1322000,T
2015,73,-85650,-1322000,T
2013,71,-133666,-1322000,T
2014,72,-52911,-1322000,T
2015,73,-102620,-1322000,T
2013,71,-87158,-1322000,T
2013,71,-80254,-1322000,T
2014,72,-107174,-1322000,T
2015,73,-67360,-1322000,T
2015,73,-145354,-1322000,T
2015,73,-76681,-1322000,T
2015,73,-80791,-1322000,T
2016,74,-92892,-1322000,T
2014,72,-155896,-1322000,T
2016,74,-61663,-1322000,T
2014,72,-101050,-1322000,T
2014,72,-103066,-1322000,T
2015,73,-105837,-1322000,T
2015,73,-105977,-1322000,T
2016,74,-90776,-1322000,T
2015,73,-88683,-1322000,T
2016,74,-43584,-1322000,T
2015,73,-97039,-1322000,T
2016,74,-115555,-1322000,T
2014,72,-88331,-1322000,T
2015,73,-121199,-1322000,T
2016,74,-138551,-1322000,T
2016,74,-111573,-1322000,T
2014,72,-104484,-1322000,T
2014,72,-64383,-1322000,T
2015,73,-168021,-1322000,T
2015,73,-130702,-1322000,T
2014,72,-86982,-1322000,T
2015,73,-88517,-1322000,T
1988,46,-75596,-1322000,O
1989,47,-146133,-1322000,O
1989,47,-78153,-1322000,O
1989,47,-50268,-1322000,O
1991,49,-111489,-1322000,O
