ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",32451.66878980892,11299.94567600973,12246,2713.322028096859,467,"Illinois","04000US17"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",24407.41213723762,3271.2400163784437,30633,4282.915406198094,1323,"Illinois","04000US17"
2,"Female",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",41035.18929669137,1638.2339864291841,99558,7663.556456778563,5502,"Illinois","04000US17"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",41704.06070826307,13936.956384865569,4744,1690.1539004815359,222,"Illinois","04000US17"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",85502.24799108002,7332.024886951902,52018,5568.236049876747,2562,"Illinois","04000US17"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",60125.863620135664,5216.879835541202,22408,3666.3267627097603,1157,"Illinois","04000US17"
1,"Male",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",42474.27237354086,9863.03119370638,4626,1669.0226175454966,242,"Illinois","04000US17"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",49050.35551188315,2000.5757442718207,120086,8397.698868154634,5963,"Illinois","04000US17"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",112124.48200404922,7540.867683631393,95327,7502.41882995944,4616,"Illinois","04000US17"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",54809.02770524171,2060.065488568394,94206,7459.090301995777,5064,"Illinois","04000US17"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",59807.344127281234,5332.466420233351,21370,3580.715944389374,1102,"Illinois","04000US17"
1,"Male",2016,"2016",1,"Full-time","436010","Secretaries & administrative assistants",42781.37971538288,10205.807878279653,4427,1632.7559016845748,228,"Illinois","04000US17"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",46888.65122578898,1883.566179468381,118128,8329.607397258313,5895,"Illinois","04000US17"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",108578.03868826688,7359.679434737896,91604,7356.673222301668,4397,"Illinois","04000US17"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",23475.35392693916,3211.835979260019,30851,4297.876187462462,1361,"Illinois","04000US17"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",53789.7245919685,2018.3498539713223,94478,7468.8145824519215,5020,"Illinois","04000US17"
2,"Female",2016,"2016",1,"Full-time","436010","Secretaries & administrative assistants",40039.60825223823,1611.068060889424,102760,7782.165509554279,5712,"Illinois","04000US17"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",40743.430725730446,15361.077502316559,4244,1598.6846372969455,208,"Illinois","04000US17"
2,"Female",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",83749.72780483811,7205.476958179736,48862,5398.220823080992,2410,"Illinois","04000US17"
1,"Male",2016,"2016",1,"Full-time","412010","Cashiers",35337.20374187411,12217.085132509545,12614,2753.6405605361447,489,"Illinois","04000US17"
2,"Female",2015,"2015",1,"Full-time","412010","Cashiers",23056.86316796937,2769.2076269511986,31345,4331.745326721268,1377,"Illinois","04000US17"
2,"Female",2015,"2015",1,"Full-time","436010","Secretaries & administrative assistants",39532.2695454289,1548.0175805724546,106342,7912.422503480801,5844,"Illinois","04000US17"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",37031.20182232346,14504.026122260148,4390,1625.9160569266878,201,"Illinois","04000US17"
2,"Female",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",80948.32008883954,7268.981216504107,45025,5183.815062101137,2238,"Illinois","04000US17"
1,"Male",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",105507.51376476452,7140.779938055677,86271,7142.737143902746,4081,"Illinois","04000US17"
1,"Male",2015,"2015",1,"Full-time","412010","Cashiers",35200.03599839293,11922.005366472204,12445,2735.139544872447,476,"Illinois","04000US17"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",60061.800749063674,5556.341691674683,21360,3579.7860313940278,1088,"Illinois","04000US17"
1,"Male",2015,"2015",1,"Full-time","436010","Secretaries & administrative assistants",42092.029739776954,9675.857892075437,4304,1609.92663484233,223,"Illinois","04000US17"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",45839.37238638327,1933.9297480250118,115740,8245.949366574498,5815,"Illinois","04000US17"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",53098.379891663084,1881.72816597047,95443,7505.146846049163,5006,"Illinois","04000US17"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",29710.14393558128,8404.675642496915,3974,1547.0236701931385,183,"Illinois","04000US17"
2,"Female",2014,"2014",1,"Full-time","436010","Secretaries & administrative assistants",39465.351738392266,1475.9172972607955,108376,7984.559177227945,5971,"Illinois","04000US17"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",52892.12467380639,1779.684549317819,95802,7517.8234684807085,5066,"Illinois","04000US17"
2,"Female",2014,"2014",1,"Full-time","412010","Cashiers",23088.020218384474,2920.09483364512,30863,4298.335701389776,1362,"Illinois","04000US17"
1,"Male",2014,"2014",1,"Full-time","412010","Cashiers",38304.37797208161,12648.752477736603,13038,2799.307291800677,502,"Illinois","04000US17"
1,"Male",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",105952.51016481833,7392.875623270266,81605,6949.629176345599,3932,"Illinois","04000US17"
1,"Male",2014,"2014",1,"Full-time","436010","Secretaries & administrative assistants",47210.22872736294,13186.164306782446,4031,1558.0689581078996,202,"Illinois","04000US17"
