"region","size","nbld","npln","t0a0","t15a3","t15a4","t15a5","t15a6","t15a7","t28a3","t28a4","t28a5","t28a6","t28a7","t41a3","t41a4","t41a5","t41a6","t41a7","t54a3","t54a4","t54a5","t54a6","t54a7"
"New England","medium",81479,348954,61548775.7082609,2344733.69347826,1350646.09608696,3423202.13608696,1291243.10173913,2168842.16521739,3264768.9073913,2441707.92173913,4626624.12565217,2425960.68173913,3406969.82521739,430824.581304348,418880.705217391,680726.251304348,431004.605217391,481889.300869565,36735.8395652174,27014.6008695652,32721.5052173913,30155.1939130435,30790.877826087
"New England","large",13056,129747,79623359.2645455,833036.697272727,520179.905454545,1284378.84909091,519750.911818182,814893.849090909,770930.703636364,608098.772727273,1174583.18909091,616883.522727273,796482.869090909,100205.31,91776.6309090909,161434.671818182,94888.1727272727,112585.164545455,12810.8227272727,12649.7027272727,13791.3127272727,8642.1609090909,8856.13727272727
"Middle Atlantic","medium",0,0,75403840.32,1492512.44,1414951.48,1935241.72,1281861.75,1396107.45,2348993.16,2862080.68,3050033.38,2718945.33,2411049.56,390287.71,558107.32,574306.87,533556,422011.72,9247.46,11253.69,9305,12015.96,8418.29
"Middle Atlantic","large",12935,128580,201539632.707273,1743401.96727273,1479074.65818182,2378568.76818182,1516739.00727273,1681495.24909091,1786497.36727273,1855699.61,2405880.51818182,1894027.92818182,1822079.25272727,215589.52,265589.579090909,355301.711818182,279322.267272727,239483.190909091,15089.6727272727,17502.1227272727,19138.6527272727,13646.9309090909,10641.2872727273
"East North Central","medium",52953,226797,99943070.5182609,5039730.85347826,1704477.33217391,6295624.33913043,1676361.73434783,4687142.07043478,6321319.81,2944877.72347826,7783261.7226087,2932519.54130435,6573100.08,779940.749130435,490302.906086957,1108232.12608696,506766.52,861314.811304348,34235.817826087,21951.507826087,34765.4773913043,23570.3234782609,30274.8408695652
"East North Central","large",26419,262725,311489477.18,3768294.74545455,1688940.23909091,5084373.05636364,1437962.47727273,3670030.58909091,3396795.31545455,2122287.22363636,4755794.55818182,1909705.41818182,3496303.47454545,417786.139090909,254098.517272727,592754.993636364,275473.272727273,461905.363636364,30420.2545454546,26285.3845454546,25671.7909090909,22174.0518181818,25262.5827272728
"West North Central","medium",67786,290319,73741020.4117391,2904991.3773913,1437867.79347826,4385325.77608696,1407046.65,2777999.77521739,4143123.63043478,2671647.76304348,5889206.35217391,2738641.38173913,4296929.49130435,508267.918695652,442292.540434783,814757.988695652,456510.615652174,559228.38826087,32782.187826087,23071.3513043478,31669.9108695652,25036.557826087,26923.2043478261
"West North Central","large",9880,98280,135408853.159091,1315158.36272727,622011.71,1989305.33090909,618416.004545455,1308804.30636364,1207541.29545455,743840.803636364,1759547.51727273,785173.545454545,1224167.98818182,162961.653636364,107574.88,243990.596363636,113996.392727273,165624.543636364,10224.5754545455,10057.8254545455,14056.9318181818,9910.61636363636,9909.12454545454
"South Atlantic","medium",51674,221321,127098132.926957,6838988.55521739,3218585.67521739,8364758.70043478,3177336.15826087,6458834.87782609,8536853.40391304,6015798.86,10417519.6347826,6191974.74695652,9315738.38260869,786076.785652174,798292.753478261,1159467.28391304,835125.965652174,927884.041304348,26836.8404347826,22120.5186956522,26645.2508695652,23658.1934782609,23109.9134782609
"South Atlantic","large",38098,378948,372278297.445454,3859303.08545455,2181647.28363636,5060053.48090909,2151461.53909091,3790127.75454545,3480781.00636364,2376919.21363636,4584346.18636364,2464312.37727273,3684000.30181818,421145.423636364,356046.256363636,654181.856363636,380594.998181818,484241.965454545,36230.9363636364,34619.3763636364,40201.0845454546,31260.17,32723.2527272727
