"region","size","nbld","npln","t0a0","t15a3","t15a4","t15a5","t15a6","t15a7","t28a3","t28a4","t28a5","t28a6","t28a7","t41a3","t41a4","t41a5","t41a6","t41a7","t54a3","t54a4","t54a5","t54a6","t54a7"
"New England","medium",38300,164041,23096539.5128428,736140.199794136,473241.144948712,1041477.83672147,441743.261443884,669788.00358797,1159458.90930568,931508.625207037,1598687.88833733,894879.888897684,1195304.2146722,172229.637023497,178576.73449424,272784.018740689,180837.31656582,190769.951820481,9943.0937611939,7298.60336889936,9467.13356504663,8442.25233827393,8076.86311253411
"New England","large",28416,0,31034413.81,233563.97,191325.36,381087.94,190932.73,232202.94,250694.34,241771.5,387892.28,233956.25,255391.96,33605.31,37667.54,53216.49,36560.9,37639.71,283.55,122.43,1264.04,133.07,383.41
"Middle Atlantic","medium",0,0,75403840.32,1492512.44,1414951.48,1935241.72,1281861.75,1396107.45,2348993.16,2862080.68,3050033.38,2718945.33,2411049.56,390287.71,558107.32,574306.87,533556,422011.72,9247.46,11253.69,9305,12015.96,8418.29
"Middle Atlantic","large",37269,0,153399759.98,1148129.24,1154292.84,1483586.95,1192066.28,1107004.34,1274424.64,1493499.61,1627498.7,1515246.11,1285151.98,148989.52,211498.67,247083.53,221049.54,164574.1,2562.4,4974.85,6611.38,5137.84,2168.56
"East North Central","medium",0,0,68034797.04,3697897.81,973041.68,4312702.6,968360.43,3436582.94,4567109.81,1685334.68,5263216.94,1656672.15,4729470.08,563889.01,289565.08,768234.3,297876.52,618057.42,11601.47,5647.16,15680.26,5507.28,11316.58
"East North Central","large",55344,0,213164077.18,2552840.2,1022849.33,3252809.42,776089.75,2492139.68,2347740.77,1381250.86,3165812.74,1139523.6,2401558.02,280495.23,145825.79,372118.63,154746,307869,5474.8,1339.93,4762.7,1355.87,4535.31
"West North Central","medium",11388,48763,36059179.2200455,1323318.17847059,575125.817154262,2045427.33056633,572596.445922325,1303894.66289934,2073948.67980065,1186688.5741915,2915771.25696007,1233601.13451841,2122851.09343624,254325.650313174,205703.300760522,413974.828408511,210074.190569539,272841.381997624,6238.56084480707,3117.1614883024,9247.51039229455,3355.4114883024,4315.1014883024
"West North Central","large",24981,0,98639762.25,861431.09,372211.71,1306596.24,368670.55,867640.67,816086.75,465004.44,1164274.79,497919,816186.17,112925.29,65974.88,160826.96,68269.12,107388.18,1770.03,1603.28,5638.75,1546.98,1563.67
"South Atlantic","medium",0,0,95960106.84,5529668.99,2504286.11,6429759.57,2486502.68,5238230.53,6825131.23,4786978.86,7958089.2,4946818.66,7517313.6,575428.09,602989.71,828485.11,631607.27,690956.65,5097.71,5847.91,7686.99,5595.15,5046.87
"South Atlantic","large",97363,0,230489442.9,2106848.54,1220010.92,2420944.39,1198170.63,2091782.3,1965617.37,1307082.85,2294782.55,1352839.65,2106182.12,225509.06,197882.62,337818.22,205813.18,263587.42,2867.3,1255.74,6855.63,2060.17,3595.98
"East South Central","medium",43415,185954,24449260.6514596,1146661.11027082,691967.962773946,1397189.03217238,658853.596815572,1067591.49127903,1391796.08944171,1106916.31373774,1833578.95610761,1086335.84762453,1482434.31714134,163513.992338376,168541.419291224,251706.134392809,174024.340332179,187378.257396889,9748.28473160136,7192.57240365635,8815.20485720176,7823.55324329896,8507.42330868138
"East South Central","large",41089,0,33460359.06,495971.91,243364.76,488977.92,273261.06,494581.65,343330.52,212707.84,405765.11,230288.78,352425.24,36058.91,28946.02,49556.08,35079.87,42234.82,520.83,396.75,136.71,548.35,616.66
"West South Central","medium",0,0,52672718.5,2306377.57,1064299.09,2733380.37,999323.8,2150149.36,2741858.26,1657876.1,3274998.28,1707565.92,2870305.95,347798.9,270533.53,494096.29,281147.47,411178.17,1704.43,1421.74,3456.89,2275.51,1903.39
"West South Central","large",72936,19842,109207221.631708,1760793.08325006,752050.039096252,2111357.15316875,710180.448448689,1689801.18504384,1079110.33668871,529426.469245162,1400762.59954739,572746.386156256,1123717.15521871,122193.24623757,72834.869650257,185329.230707323,83459.6902978201,142572.04623757,3401.95561596858,3061.96561596858,1610.15,1146.53,1882.99
"Mountain","medium",0,0,37752798.15,102621.41,524711.82,2451315.35,536512.11,87096.83,425115.27,865405.48,2694301.09,913167.02,412661.26,47848.48,93705.06,228311.51,96050.58,50551.74,280.22,818.54,1522.92,326.06,67.89
"Mountain","large",16045,0,77623443.92,51967.79,225184.5,990688.17,229588.39,52804.72,129956.46,225495.13,805045.45,216803.2,115205.77,15805.5,23439.32,81327.01,24867.52,15628.88,142.9,1053.43,2624.69,648.59,49
"Pacific","medium",0,0,85933981.4,2246848.09,1475728.11,4523907.45,1447008.35,2130601.95,2249335.19,1872117.98,4704514.96,1923157.3,2330161,142598.41,172897.28,445805.39,184319.94,167894.7,1707.04,1300.5,4863.91,1319.23,1674.98
"Pacific","large",75545,0,169158745.85,1547593.79,845236.63,3430310.69,1002489.43,1502035.09,1017143.12,734760.43,2076126.24,773218.35,1017670.79,115663.92,108760.1,256996.77,103616.04,116256.59,490.24,917.21,1803.85,784.41,430
