"region","size","nbld","npln","t0a0","t15a3","t15a4","t15a5","t15a6","t15a7","t28a3","t28a4","t28a5","t28a6","t28a7","t41a3","t41a4","t41a5","t41a6","t41a7","t54a3","t54a4","t54a5","t54a6","t54a7"
"New England","medium",124658,533879,245528327.402635,9903555.28799225,5477156.71702275,14680449.9021869,5287859.69347036,9213436.94422832,13180078.3855991,9546068.23920115,18954943.3310342,9631044.680382,13820103.7475666,1648718.88759047,1545684.63658228,2606027.55933373,1608389.99110949,1853498.68306877,163319.686813773,121324.96471519,141870.908321925,131742.299097586,136095.653709755
"New England","large",28416,282587,305220897.959073,3526149.56006229,1997286.91941125,5360193.71741529,1986845.82514773,3424907.52224684,3103830.32388853,2257610.6098412,4728322.99989486,2329311.15698749,3238554.34449454,402916.877935703,336773.999162113,652033.043143989,365544.46981056,456589.964433545,69952.0944893559,69589.7628827679,61219.4729034811,59753.1502258344,50558.6607820772
"Middle Atlantic","medium",17280,74023,107715129.722771,2827417.46244222,2142293.49661031,3919306.22643592,1987107.82508686,2638610.4059891,4098600.26161771,4116478.34403533,5573769.78616006,3990338.31882017,4248769.84861672,605154.385148253,758213.303122077,913602.207507224,740816.846556137,663623.988252271,31163.0154602367,28249.0147848446,28805.5366383462,29281.8638796781,27918.8266383462
"Middle Atlantic","large",37269,370680,513008786.20949,5468530.10190335,3528657.27762256,8019119.44362675,3546467.93016658,5297512.9423684,5025886.05940781,4137898.24256258,7324258.76779777,4268836.43875073,5196047.41691356,637340.036780784,600571.813785099,1035345.35236925,649981.188161537,713215.402361912,92260.8024808692,94673.2524808692,86596.6708949946,75342.9487735907,72038.3160959439
"East North Central","medium",136379,584106,323029585.201105,14226324.5062012,6720208.9855103,19968748.6948017,6530362.83047762,13247598.2739733,18368350.0983686,11579182.1981704,25182946.467292,11687384.1967653,19224061.7354092,2259914.73237807,1861252.33305071,3447704.42017199,1935490.82549464,2529040.01055793,189611.511598618,137591.457919476,167125.094557822,147201.846238649,159985.623609487
"East North Central","large",55344,550653,747197428.732071,8968595.96889084,4544939.90527058,12961351.9905597,4268638.56729978,8708669.99754418,7915078.07201152,5312511.50758272,11627016.4472384,5220706.36510919,8199003.94203957,999021.437344363,724411.273545888,1539472.20242635,793018.634307252,1116294.82143182,135098.777392837,130963.907392837,124807.706878021,111218.271543441,104550.458886508
"West North Central","medium",124184,531848,265085127.155001,10774174.3574742,5733612.08128957,16101541.776884,5567579.03380041,10112233.9046586,14463497.6609716,10067479.6535682,20801136.7228,10239514.3447491,15135469.2271488,1775082.14415641,1615716.48287528,2817943.61798295,1679981.62161221,1988232.12936176,164832.556813773,120962.58471519,144046.178594868,130951.103034363,136650.637646533
"West North Central","large",24981,248531,339687171.537309,3755230.42469132,1958850.88953755,5686818.39373577,1945395.40634508,3671875.74328151,3330458.98195657,2240753.53608516,4985941.3181814,2343604.92271663,3430506.48030754,441908.85981056,325558.18746332,689706.686512516,357461.25596965,476632.677400174,61524.2512968931,61357.5012968931,55814.0007820772,51453.9486399599,51135.2859623132
"South Atlantic","medium",173334,742371,420050812.911484,18911016.3894228,9808740.74866127,26327393.1557685,9556680.29990629,17706980.8147482,24367648.9550143,17360657.2704689,33273795.9872488,17696362.6723404,25940943.0019727,2730437.96763209,2599490.08267182,4232972.42099203,2713445.03872249,3119425.005727,229714.653467426,172053.436583999,200547.916656405,186110.403452119,192987.565981013
"South Atlantic","large",97363,968568,1169959527.36981,13391780.6142272,7416041.88580396,19492737.357719,7344495.83877059,13037279.9169399,11754212.3019902,8221841.23475491,17172010.3082713,8536961.52433963,12313526.0948172,1492542.42863522,1215582.357042,2392979.26993341,1323528.06592851,1690457.22935415,232238.144137227,230626.584137227,216666.109894419,201285.621346664,183328.137639385
"East South Central","medium",121027,518313,238671084.280637,9972076.73736846,5511051.96033849,14531649.4448217,5323756.36076604,9293450.67630609,12966481.0828614,9401086.12852025,18546512.0256925,9498392.31178439,13637895.4872854,1583931.28481649,1485016.37842048,2498624.77924602,1547872.0841258,1789972.19237807,157331.002201603,117712.442861689,135578.477646533,127728.281180862,133168.457919476
"East South Central","large",41089,408898,429942129.272474,5256090.66021923,2857617.99977202,7693263.79340221,2867551.51231603,5114156.04160099,4474286.11267809,3126671.17375389,6682183.78991213,3263559.34474109,4662777.63763983,574584.677562861,457944.738697067,917467.840586596,504004.163609034,641185.514215048,100133.555673332,100009.475673332,89969.2535519279,80600.711430524,80266.5982173479
"West South Central","medium",197520,845933,421984711.352188,17554515.6769339,9386639.74118295,25406022.7054684,9055451.02955372,16358936.86411,22729749.4724946,15986172.0357936,32124360.885212,16236058.0319473,23863737.5018119,2802922.6557994,2545232.22537889,4374382.69496768,2653529.23463385,3178581.09110777,257897.004215225,191597.068739681,223153.602792034,207301.723797469,216589.679085031
"West South Central","large",72936,725540,808906762.049283,10160847.145117,5362954.92012803,14824862.9128697,5281361.88682265,9832527.46926023,8367615.22918845,5677336.60197513,12478351.4436419,5918097.77546391,8719657.54529173,1063925.04148159,827240.482791861,1711589.099291,917648.462080267,1204415.91889514,170833.801769276,170493.811769276,161245.379112342,150733.294848821,141354.22004977
"Mountain","medium",46799,200435,125255710.909694,3714640.146643,2496611.03929486,7822781.6496115,2445079.68173604,3454817.70047401,5162092.58461235,4260322.90873608,9530291.88418291,4356565.21123711,5386510.99825246,628756.085759495,633016.18759769,1148153.68114027,657547.84215276,707136.666522601,61377.2348001515,44830.0369836958,53050.0525442008,49077.4015958656,51234.2504177561
"Mountain","large",16045,159674,232444781.454554,1908305.81179992,1243152.51918412,3804301.00218974,1237575.01545613,1858699.20887572,1746137.39750835,1362971.59177791,3259529.31958862,1403717.13666916,1801122.32253323,225481.838823361,192854.731233746,420493.185145139,204666.748174914,254645.765187572,39666.0516987919,40576.5816987919,42080.7711632625,30726.9122550346,30127.3222550346
"Pacific","medium",352077,1507882,744227224.10633,29424786.1262109,16311488.9635486,44939173.4936048,15809475.3214265,27458564.2174215,37878872.5773966,27412080.9385898,56128836.8314254,27821916.1327354,39750811.7741445,4518455.0246765,4228868.90077602,7362032.96349496,4413742.14382569,5099967.57402743,458185.983400524,340325.258412391,395415.800956592,369684.986401522,382476.602637418
"Pacific","large",75545,751386,898095992.978622,10307971.026936,5644744.39084696,16680302.9884665,5772053.00966299,9993182.97842235,8609831.43183201,6102603.99852274,13620507.4806194,6350604.11627504,8939879.2359268,1103084.12318038,897021.922369248,1853147.84951683,971527.800586596,1223788.87059393,179954.115497268,180381.085497268,171085.120162688,150505.31591988,140102.441656359
