Agency_ID,Agency_Name,Laboratory_Name,Laboratory_ID,Facility_RD_Asset,Address,ZIP_Code,City,State,Country,Description,Type,Link,POC_Email,POC_Phone
,DOE,Ames Laboratory,,Materials Preparation Center,"Technical and Administrative Services Facility #311
#311",50011,Ames,IA,US,"MPC is recognized throughout the worldwide research community for its unique capabilities in purification, preparation, and characterization of: rare earth metals, single crystal growth, metal powders/atomization, alkaline-earth metals, and refractory metal. Established in 1981, the MPC is a one-of-a-kind facility, which is acutely sensitive to the needs of researchers. Providing research and developmental quantities of high-purity materials and unique characterization services to scientists at university, industry and government facilities on a cost-recovery basis, the MPC allows access to novel materials and new technologies as they are developed.",Shared R&D Facility,https://www.ameslab.gov/mpc,mpc@ameslab.gov,(515) 294-2770
,DOE,Ames Laboratory,,Dynamical Nuclear Polarization NMR Facility,"Technical and Administrative Services Facility #311
#311",50011,Ames,IA,US,A new acquisition (Summer 2014) will provide a giant step forward in world-class solid-state nuclear magnetic resonance (NMR) capabilities with a Dynamic Nuclear Polarization-NMR spectrometer. The instrument will be the first of its kind to be focused on materials and materials chemistry in the United States.,Shared R&D Facility,https://www.ameslab.gov/news/inquiry/2013-2-cutting-edge-nmr-technology-headed-ames-lab,jenks@ameslab.gov ,(515) 294-2770
,DOE,Ames Laboratory,,Powder-to-Parts (Additive Manufacuring),"Technical and Administrative Services Facility #311
#311",50011,Ames,IA,US,"The Ames Lab Powder to Parts Facility is a state-of-the-art center that bridges advanced powder making technology, additive manufacturing (AM) and other net-shape parts fabrication, and non-destructive evaluation with professional development. This unique research and prototyping facility offers custom powder-based parts fabrication and qualification under one roof, catalyzing rapid manufacturing implementation. Powder-to-Parts can be accessed via the MPC (see above).",Shared R&D Facility,www.ameslab.gov," andersoni@ameslab.gov (Iver E. Anderson) 
 jrieken@ameslab.gov (Joel R. Rieken) ",(515) 294-2770
,DOE,Ames Laboratory,,"Critical Materials Institute, a DOE Energy Innovation Hub","Technical and Administrative Services Facility #311
#311",50011,Ames,IA,US,"The CMI focuses on technologies that make better use of materials and eliminate the need for materials that are subject to supply disruptions. These critical materials are essential for American competitiveness in clean energy. Various facilities are available for use under CMI Memebership Program. An example being the LENS (Laser-Engineered Near-Netshape System) for bulk-combinatorial materials assessment. Critical Materials Institute is helping the United States in four ways: (1) Diversifying supplies. (2) Developing new substitute materials. (3) Using the available materials more efficiently. And, (4) Forecasting what materials might become critical in the future. ",Shared R&D Facility,https://cmi.ameslab.gov,covey@ameslab.gov ,(515) 294-2770
,DOE,Argonne National Laboratory,,Advanced Photon Source (APS),9700 S Cass Ave B109,60439,Lemont,IL,US,"The APS at Argonne National Laboratory is one of only three third-generation, hard x-ray synchrotron radiation light sources in the world. The 1,104-meter circumference facility&mdash;large enough to house a baseball park in its center&mdash;includes 34 bending magnets and 34 insertion devices, which generate a capacity of 68 beamlines for experimental research. Instruments on these beamlines attract researchers to study the structure and properties of materials in a variety of disciplines, including condensed matter physics, materials sciences, chemistry, geosciences, structural biology, medical imaging, and environmental sciences. The high-quality, reliable x-ray beams at the APS have already brought about new discoveries in materials structure.",User Facility,http://www.aps.anl.gov/,dmm@aps.anl.gov,(630) 252-5680
,DOE,Argonne National Laboratory,,Argonne Leadership Computing Facility (ALCF),9700 S Cass Ave B109,60439,Lemont,IL,US,"In operation since 2006, the Argonne Leadership Computing Facility houses world-class supercomputing resources for open science. It supports a wide range of science and engineering research and serves users from academia, industry, and the national laboratories. The ALCF provides comprehensive services from training to performance engineering to data analysis, and operates a unique catalyst program to assist the individual science teams to achieve optimal performance and results on ALCF systems from day one. Argonne's current supercomputing resource is Mira, a 10-petaflops IBM Blue Gene/Q system, consisting of 48 racks, 786,432 cores, and 768 terabytes of memory.. The center serves elite computational scientists from all areas of the research community through user programs such as the Innovative and Novel Computational Impact on Theory and Experiment (INCITE) program and the Department of Energy's ASCR Leadership Computing Challenge (ALCC) program, delivering state-of-the-art computing, data, visualization, and analytics resources to solve the world's most challenging science problems.",User Facility,http://www.alcf.anl.gov/,papka@anl.gov,(630) 252-1556
,DOE,Argonne National Laboratory,,Argonne Tandem Linac Accelerator System (ATLAS),9700 S Cass Ave B109,60439,Lemont,IL,US,"ATLAS is a national user facility at Argonne National Laboratory in Argonne, Illinois. The ATLAS facility is a leading facility for nuclear structure research in the United States. It provides a wide range of beams for nuclear reaction and structure research to a large community of users from the US and abroad. The full range of all stable ions can be produced in ECR ion sources, accelerated in the world's first superconducting linear accelerator for ions to energies of 7-17 MeV per nucleon and delivered to one of several target stations. About 20% of the beam-time is used to generate secondary radioactive beams. These beams are used mostly to study nuclear reactions of astrophysical interest and for nuclear structure investigations. Users of ATLAS take advantage of the existing experimental equipment such as, for example, the Canadian Penning Trap (CPT), the Fragment Mass Analyzer (FMA), the magnetic spectrograph and Gammasphere. Beam lines are also available for experiments where Users bring their own equipment. The Physics support group is available to assist the Users in all preparations for their measurements.",User Facility,http://www.phy.anl.gov/atlas/,janssens@anl.gov,(630) 252-8426
,DOE,Argonne National Laboratory,,Argonne Wakefield Accelerator,9700 S Cass Ave B109,60439,Lemont,IL,US,"The Argonne Wakefield Accelerator (AWA) in the HEP division at the Argonne National Laboratory is a test facility for one of the leading advanced accelerator technologies for electron beams, dielectric wakefield acceleration. The AWA has recently gone through an upgrade of the drive beam energy to 75 MeV, with a second, 15 MeV witness beam. The AWA conducts experiments and produces and publishes results on many topics including advanced acceleration, GW-scale rf sources, phase space manipulation and positron acceleration. The AWA also has strong partnerships with industry through SBIRs.",Shared R&D Facility,http://gate.hep.anl.gov/awa/,ryoshida@anl.gov,(630) 252-7874
,DOE,Argonne National Laboratory,,Battery Test Facility- Electrochemical Analysis and Diagnostics Laboratory,9700 S Cass Ave B109,60439,Lemont,IL,US,"The Electrochemical Analysis and Diagnostics Laboratory (EADL) provides battery developers with reliable, independent, and unbiased performance evaluations of their cells, modules, and battery packs. These evaluations have been performed for the U.S. Department of Energy (DOE), government and industry consortia, and industrial developers to provide insight into the factors that limit the performance and life of advanced battery systems. Such evaluations help battery developers and DOE evaluate technical progress, and aid DOE in R&D decision-making. The EADL is an extensive facility designed to test large numbers of both small and large batteries designed within and outside of Argonne National Laboratory. It has the capability to conduct >240 concurrent advanced battery studies under operating conditions that simulate electric-vehicle (EV), electric-hybrid vehicle (HEV), utility load-leveling, and standby/uninterruptible power source applications. Each battery is independently defined, controlled and monitored to impose charging regimes and discharge load profiles that simulate the types of dynamic operating conditions found during actual use. The facility is supported by the US Department of Energy, Office of Vehicle Technologies, Hybrid and Electric Systems.",Shared R&D Facility,http://www.cse.anl.gov/facilities/eadl.html,burrell@anl.gov,(630) 252-2629
,DOE,Argonne National Laboratory,,Battery Post-Test Facility,9700 S Cass Ave B109,60439,Lemont,IL,US,"Post-test diagnostics of aged batteries can provide additional information regarding the cause of performance degradation, which, previously, could be only inferred from the changes in electrochemical performance data. The results from physical, spectroscopic, metallographic, electrochemical tests will be used to characterize the physical and chemical changes which occurred during the aging process. Conclusions from these results can aid in the further improvement of a given technology by showing where work may need to be done. The experience and techniques developed in DOE's applied battery R&D program are used in a standardized fashion, similar to the performance test protocols, making comparisons of failure modes within a given technology and perhaps, across technologies easier. The Facility is available to help DOE's battery programs and to help industrial battery developers better understand life-limiting mechanisms specific to their technology. The facility is supported by the US Department of Energy, Office of Vehicle Technologies, Hybrid and Electric Systems.",Shared R&D Facility,http://www.cse.anl.gov/facilities/ptf.html,burrell@anl.gov,(630) 252-2629
,DOE,Argonne National Laboratory,,"Cell Analysis, Modeling, and Prototyping Facility (CAMP)-Battery Cell Fabrication Facility",9700 S Cass Ave B109,60439,Lemont,IL,US,"The goal of Argonne's Cell Analysis, Modeling, and Prototyping (CAMP) Facility is to design, fabricate, and characterize high-quality prototype cells using the latest discoveries in high energy anode and cathode battery materials created at Argonne and in research labs around the world. Its manufactured cells have at least a 200mAh capacity and enable a realistic and consistent evaluation of candidate chemistries in a timely manner and in a close-to-real industrial format. The CAMP Facility is appropriately scaled to help new materials move more easily from bench top discovery to industrial production. Within a climate-controlled dry room, the CAMP Facility's high tech equipment includes a planetary mixer with a high speed disperser, a high precision electrode coater with two drying zones, and a hot roll press, which enables the fabrication of high-quality electrodes. These electrodes are used to make pouch (in an xx3450 format) and 18650 cells using the CAMP Facility's semi-automated industrial cell assembly equipment.",Shared R&D Facility,http://www.cse.anl.gov/facilities/cellfabrication.html,burrell@anl.gov,(630) 252-2629
