-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
January,Monthly Average,"1,035","1,219","1,410",70.6,1.15,1.61,2.12,0.19,1.65,2.21,2.77,0.21
January,1,"1,185","1,292","1,395",51.3,1.62,1.82,2.11,0.13,2.13,2.43,2.74,0.16
January,2,"1,200","1,306","1,407",50.0,1.65,1.85,2.11,0.13,2.18,2.46,2.75,0.15
January,3,"1,197","1,306","1,404",53.8,1.63,1.84,2.12,0.15,2.14,2.45,2.77,0.17
January,4,"1,185","1,303","1,405",53.9,1.58,1.83,2.11,0.14,2.12,2.44,2.77,0.16
January,5,"1,189","1,285","1,410",51.7,1.57,1.77,2.12,0.14,2.12,2.38,2.77,0.16
January,6,"1,159","1,247","1,397",51.3,1.47,1.66,2.06,0.14,2.01,2.27,2.71,0.15
January,7,"1,089","1,197","1,368",57.3,1.28,1.54,1.96,0.16,1.85,2.14,2.61,0.17
January,8,"1,075","1,181","1,346",58.1,1.22,1.50,1.96,0.18,1.83,2.09,2.59,0.19
January,9,"1,078","1,177","1,332",49.7,1.28,1.50,1.92,0.14,1.82,2.09,2.55,0.16
January,10,"1,081","1,181","1,311",47.5,1.30,1.54,1.86,0.14,1.82,2.12,2.49,0.15
January,11,"1,099","1,189","1,320",43.2,1.34,1.58,1.88,0.12,1.86,2.16,2.51,0.14
January,12,"1,124","1,202","1,318",41.6,1.33,1.59,1.86,0.13,1.90,2.18,2.50,0.14
January,13,"1,129","1,218","1,337",46.9,1.32,1.61,1.93,0.15,1.90,2.21,2.58,0.17
January,14,"1,133","1,231","1,361",51.2,1.36,1.62,1.99,0.16,1.91,2.23,2.63,0.18
January,15,"1,141","1,236","1,376",48.6,1.39,1.62,2.06,0.17,1.91,2.23,2.70,0.18
January,16,"1,149","1,237","1,394",51.4,1.37,1.61,2.06,0.16,1.94,2.22,2.71,0.18
