-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
January,Monthly Average,633,815,"1,005",75.9,0.25,0.44,0.68,0.09,0.78,1.06,1.41,0.14
January,1,813,877,938,30.0,0.45,0.53,0.65,0.05,1.11,1.19,1.28,0.05
January,2,841,925,996,35.3,0.48,0.56,0.65,0.05,1.17,1.26,1.36,0.06
January,3,877,943,"1,003",29.3,0.46,0.57,0.66,0.05,1.17,1.29,1.39,0.06
January,4,900,947,"1,005",26.6,0.44,0.57,0.68,0.05,1.17,1.29,1.41,0.06
January,5,901,945,"1,005",26.4,0.44,0.56,0.65,0.06,1.16,1.28,1.39,0.06
January,6,842,902,952,30.6,0.37,0.51,0.66,0.07,1.07,1.20,1.36,0.08
January,7,812,855,910,27.0,0.32,0.44,0.61,0.08,0.98,1.10,1.28,0.09
January,8,766,810,861,26.3,0.29,0.42,0.59,0.08,0.92,1.03,1.20,0.08
January,9,746,791,828,25.3,0.30,0.41,0.60,0.08,0.90,1.01,1.15,0.08
January,10,705,772,815,24.6,0.28,0.39,0.51,0.06,0.86,0.97,1.11,0.06
January,11,709,761,807,22.7,0.29,0.37,0.52,0.05,0.84,0.95,1.12,0.06
January,12,719,765,824,24.0,0.31,0.39,0.53,0.05,0.87,0.96,1.15,0.06
January,13,734,775,822,21.2,0.32,0.40,0.53,0.05,0.89,0.98,1.14,0.05
January,14,751,786,824,20.8,0.33,0.42,0.54,0.05,0.90,1.00,1.15,0.05
January,15,754,795,835,19.6,0.34,0.43,0.52,0.04,0.94,1.02,1.13,0.05
January,16,757,802,840,20.3,0.30,0.43,0.54,0.05,0.90,1.03,1.16,0.05
January,17,766,802,843,18.4,0.26,0.40,0.51,0.05,0.88,1.01,1.15,0.05
January,18,703,756,798,20.9,0.25,0.35,0.45,0.04,0.86,0.93,1.03,0.04
January,19,650,700,731,19.6,0.27,0.34,0.40,0.03,0.80,0.87,0.95,0.03
January,20,633,711,762,25.8,0.30,0.35,0.42,0.03,0.78,0.89,0.98,0.04
January,21,642,734,788,29.2,0.31,0.38,0.46,0.03,0.83,0.93,1.03,0.04
January,22,677,773,819,30.4,0.36,0.41,0.50,0.04,0.86,0.98,1.10,0.04
January,23,726,801,836,22.5,0.37,0.44,0.54,0.04,0.94,1.04,1.14,0.04
January,24,760,822,857,22.3,0.41,0.49,0.56,0.04,1.04,1.10,1.18,0.04
February,Monthly Average,636,786,979,80.5,0.23,0.38,0.59,0.08,0.78,1.00,1.35,0.13
February,1,809,862,909,28.6,0.37,0.46,0.55,0.04,1.06,1.13,1.25,0.05
February,2,824,909,965,36.5,0.41,0.49,0.58,0.04,1.09,1.20,1.31,0.06
February,3,856,929,978,28.9,0.40,0.50,0.57,0.04,1.12,1.23,1.35,0.06
February,4,861,935,977,25.0,0.40,0.50,0.59,0.05,1.13,1.24,1.35,0.05
February,5,872,928,979,22.6,0.36,0.48,0.59,0.05,1.10,1.22,1.32,0.06
February,6,843,877,917,21.8,0.30,0.42,0.56,0.07,1.00,1.12,1.28,0.07
February,7,794,823,873,21.5,0.27,0.36,0.51,0.07,0.92,1.02,1.19,0.08
February,8,737,783,835,25.9,0.27,0.36,0.51,0.07,0.87,0.97,1.16,0.07
February,9,706,748,782,21.3,0.24,0.34,0.50,0.07,0.85,0.93,1.10,0.07
February,10,691,732,764,20.5,0.23,0.33,0.47,0.06,0.83,0.91,1.04,0.05
February,11,665,725,756,20.0,0.23,0.33,0.43,0.05,0.81,0.89,1.00,0.05
February,12,676,727,761,20.2,0.26,0.33,0.43,0.04,0.82,0.90,1.02,0.05
February,13,689,738,773,19.3,0.28,0.35,0.44,0.04,0.85,0.92,1.05,0.05
February,14,706,744,788,19.0,0.31,0.36,0.45,0.04,0.85,0.94,1.06,0.05
February,15,725,753,799,17.6,0.31,0.37,0.45,0.04,0.88,0.95,1.07,0.05
February,16,728,765,803,17.6,0.31,0.38,0.46,0.04,0.86,0.97,1.09,0.05
February,17,731,769,801,16.6,0.29,0.37,0.47,0.04,0.85,0.97,1.08,0.05
February,18,714,751,788,17.2,0.27,0.33,0.44,0.04,0.82,0.92,1.05,0.05
February,19,649,683,722,18.8,0.23,0.29,0.37,0.03,0.78,0.83,0.91,0.03
February,20,636,682,720,20.9,0.26,0.32,0.38,0.03,0.78,0.85,0.92,0.04
February,21,648,702,749,25.5,0.27,0.34,0.40,0.03,0.83,0.88,0.96,0.03
February,22,673,738,785,31.1,0.32,0.36,0.43,0.03,0.86,0.93,0.99,0.03
February,23,732,767,801,17.5,0.31,0.39,0.51,0.05,0.89,0.98,1.08,0.05
February,24,764,800,830,18.1,0.34,0.42,0.51,0.05,0.96,1.05,1.17,0.05
March,Monthly Average,620,794,"1,021",82.5,0.20,0.34,0.56,0.07,0.68,0.93,1.29,0.13
March,1,798,861,958,36.9,0.28,0.39,0.46,0.05,0.87,1.04,1.21,0.08
March,2,821,910,"1,001",38.7,0.33,0.42,0.51,0.05,0.94,1.10,1.25,0.08
March,3,845,934,991,35.8,0.35,0.44,0.56,0.05,0.94,1.14,1.28,0.08
March,4,869,940,"1,014",35.1,0.33,0.44,0.55,0.06,0.97,1.15,1.28,0.08
March,5,858,935,"1,021",35.4,0.31,0.43,0.54,0.06,0.95,1.14,1.29,0.09
March,6,818,898,"1,000",34.0,0.28,0.40,0.49,0.06,0.88,1.07,1.26,0.09
March,7,761,849,918,30.8,0.27,0.35,0.47,0.06,0.80,0.99,1.21,0.08
March,8,723,799,882,36.9,0.23,0.33,0.45,0.05,0.75,0.92,1.16,0.09
March,9,708,765,818,28.3,0.24,0.31,0.45,0.05,0.75,0.88,1.08,0.08
March,10,703,746,787,26.0,0.21,0.30,0.39,0.04,0.74,0.86,1.02,0.06
March,11,694,735,780,25.1,0.21,0.29,0.41,0.04,0.71,0.84,1.03,0.06
March,12,690,732,791,23.9,0.23,0.28,0.44,0.04,0.68,0.83,1.07,0.07
March,13,692,737,790,22.2,0.23,0.30,0.45,0.05,0.72,0.85,1.08,0.07
March,14,698,741,787,22.6,0.24,0.31,0.45,0.05,0.74,0.86,1.08,0.07
March,15,697,748,787,21.5,0.23,0.33,0.45,0.05,0.75,0.88,1.07,0.07
March,16,707,758,801,25.0,0.24,0.33,0.43,0.05,0.75,0.89,1.06,0.07
March,17,708,764,799,25.2,0.25,0.33,0.42,0.04,0.77,0.89,1.05,0.07
March,18,695,763,802,25.2,0.26,0.32,0.39,0.04,0.76,0.88,1.01,0.06
March,19,664,719,757,25.0,0.20,0.29,0.34,0.04,0.71,0.82,0.91,0.05
March,20,620,686,732,28.3,0.21,0.28,0.34,0.03,0.68,0.78,0.86,0.05
March,21,636,706,769,30.9,0.22,0.29,0.36,0.03,0.70,0.81,0.89,0.05
March,22,670,745,781,31.0,0.26,0.32,0.39,0.04,0.76,0.87,0.95,0.06
March,23,729,780,838,25.9,0.27,0.34,0.41,0.04,0.78,0.92,1.03,0.06
March,24,763,809,873,29.0,0.28,0.37,0.43,0.04,0.84,0.97,1.08,0.07
April,Monthly Average,641,826,"1,071",87.1,0.27,0.48,0.80,0.11,0.77,1.08,1.55,0.16
April,1,781,919,"1,016",54.6,0.43,0.56,0.69,0.08,0.99,1.23,1.44,0.11
April,2,838,960,"1,053",51.2,0.48,0.61,0.74,0.08,1.10,1.31,1.50,0.11
April,3,876,979,"1,071",48.0,0.50,0.63,0.77,0.07,1.15,1.35,1.55,0.10
April,4,901,984,"1,067",42.9,0.50,0.65,0.79,0.08,1.18,1.36,1.54,0.10
April,5,890,958,"1,040",38.3,0.48,0.61,0.80,0.09,1.16,1.30,1.53,0.10
April,6,822,897,967,41.1,0.37,0.54,0.75,0.10,1.01,1.20,1.47,0.12
April,7,772,859,935,41.8,0.33,0.49,0.75,0.10,0.94,1.12,1.43,0.12
April,8,740,810,884,38.9,0.31,0.45,0.68,0.09,0.88,1.05,1.32,0.11
April,9,742,789,865,30.9,0.31,0.44,0.64,0.08,0.89,1.01,1.23,0.08
April,10,721,775,835,27.2,0.31,0.42,0.57,0.06,0.89,0.99,1.16,0.07
April,11,709,764,829,27.2,0.32,0.41,0.55,0.06,0.86,0.97,1.14,0.06
April,12,720,762,827,27.2,0.30,0.42,0.54,0.06,0.85,0.97,1.14,0.07
April,13,714,762,824,26.5,0.33,0.42,0.55,0.06,0.87,0.97,1.14,0.07
April,14,727,762,820,25.0,0.30,0.42,0.55,0.07,0.86,0.97,1.13,0.07
April,15,723,768,829,27.0,0.34,0.43,0.56,0.06,0.85,0.98,1.13,0.07
April,16,723,779,847,29.0,0.34,0.44,0.55,0.06,0.86,1.00,1.13,0.07
April,17,718,790,858,32.4,0.31,0.44,0.56,0.06,0.89,1.01,1.14,0.07
April,18,711,788,838,31.6,0.32,0.43,0.56,0.06,0.88,1.00,1.11,0.07
April,19,686,778,834,39.8,0.29,0.40,0.53,0.06,0.83,0.97,1.11,0.08
April,20,641,732,800,43.0,0.27,0.38,0.47,0.06,0.77,0.91,1.02,0.08
April,21,652,748,819,46.3,0.31,0.40,0.50,0.05,0.81,0.94,1.08,0.08
April,22,697,786,859,46.6,0.35,0.45,0.57,0.06,0.88,1.02,1.16,0.08
April,23,757,823,884,34.9,0.39,0.48,0.60,0.06,0.92,1.08,1.23,0.08
April,24,770,853,919,42.1,0.40,0.50,0.65,0.08,0.96,1.13,1.33,0.10
May,Monthly Average,611,738,969,70.3,0.26,0.47,0.80,0.12,0.67,1.02,1.47,0.17
May,1,636,796,913,64.4,0.42,0.57,0.72,0.07,0.80,1.17,1.34,0.12
May,2,679,831,955,65.5,0.48,0.63,0.79,0.07,0.88,1.25,1.44,0.12
May,3,723,844,966,58.8,0.57,0.67,0.79,0.06,1.06,1.30,1.47,0.10
May,4,742,849,969,55.3,0.54,0.68,0.80,0.07,1.04,1.31,1.45,0.10
May,5,736,835,927,53.6,0.53,0.64,0.78,0.07,0.98,1.26,1.45,0.09
May,6,701,793,886,42.4,0.46,0.59,0.79,0.09,0.91,1.18,1.43,0.10
May,7,686,765,847,39.1,0.42,0.54,0.78,0.10,0.89,1.11,1.39,0.10
May,8,644,722,781,35.4,0.35,0.48,0.74,0.09,0.81,1.02,1.31,0.09
May,9,625,711,767,37.9,0.34,0.44,0.64,0.08,0.78,0.97,1.20,0.07
May,10,619,705,761,36.4,0.33,0.42,0.59,0.07,0.75,0.94,1.11,0.07
May,11,637,698,748,32.6,0.32,0.40,0.55,0.06,0.72,0.92,1.09,0.07
May,12,632,696,751,34.4,0.30,0.39,0.55,0.06,0.70,0.91,1.09,0.08
May,13,619,691,752,36.5,0.29,0.38,0.52,0.06,0.68,0.90,1.08,0.08
May,14,613,685,755,36.5,0.28,0.38,0.51,0.06,0.67,0.89,1.08,0.09
May,15,612,687,770,37.6,0.27,0.38,0.52,0.07,0.67,0.89,1.08,0.09
May,16,616,690,777,40.4,0.27,0.39,0.50,0.06,0.68,0.90,1.07,0.09
May,17,632,699,787,42.8,0.26,0.39,0.49,0.06,0.71,0.91,1.07,0.09
May,18,633,707,801,41.2,0.28,0.40,0.48,0.05,0.73,0.93,1.08,0.08
May,19,643,714,802,40.1,0.29,0.40,0.49,0.05,0.71,0.93,1.09,0.08
May,20,619,698,755,39.2,0.30,0.39,0.50,0.05,0.74,0.91,1.02,0.06
May,21,611,698,759,41.5,0.31,0.39,0.47,0.04,0.72,0.91,1.01,0.07
May,22,655,722,805,37.1,0.34,0.43,0.53,0.05,0.76,0.97,1.10,0.07
May,23,644,726,809,43.0,0.37,0.46,0.58,0.06,0.78,1.01,1.17,0.09
May,24,639,741,839,51.4,0.37,0.50,0.60,0.06,0.82,1.06,1.22,0.09
June,Monthly Average,595,754,969,76.6,0.21,0.42,0.89,0.14,0.68,0.99,1.47,0.18
June,1,697,817,928,50.5,0.43,0.52,0.63,0.05,1.05,1.15,1.30,0.06
June,2,742,857,965,56.3,0.51,0.60,0.72,0.05,1.11,1.24,1.39,0.06
June,3,759,870,969,54.5,0.53,0.63,0.77,0.05,1.14,1.28,1.38,0.06
June,4,774,880,959,51.1,0.56,0.66,0.86,0.06,1.20,1.32,1.45,0.06
June,5,767,872,955,49.8,0.54,0.65,0.86,0.07,1.18,1.30,1.47,0.07
June,6,734,836,937,49.7,0.43,0.61,0.89,0.10,1.07,1.24,1.47,0.10
June,7,699,797,872,40.9,0.39,0.53,0.82,0.10,1.00,1.13,1.35,0.10
June,8,655,746,840,36.3,0.35,0.45,0.67,0.08,0.90,1.02,1.25,0.09
June,9,639,730,808,33.7,0.31,0.40,0.55,0.05,0.87,0.96,1.07,0.06
June,10,637,724,809,34.4,0.30,0.37,0.47,0.04,0.84,0.92,1.01,0.05
June,11,636,714,801,35.5,0.25,0.34,0.45,0.04,0.79,0.88,0.97,0.05
June,12,637,709,787,36.6,0.23,0.32,0.44,0.04,0.77,0.86,0.95,0.04
June,13,625,700,769,32.3,0.23,0.30,0.45,0.04,0.76,0.83,0.94,0.05
June,14,619,689,751,28.9,0.21,0.29,0.42,0.05,0.69,0.81,0.91,0.05
June,15,620,683,741,25.6,0.21,0.29,0.45,0.05,0.68,0.80,0.93,0.06
June,16,615,680,739,26.3,0.21,0.29,0.43,0.05,0.68,0.80,0.92,0.05
June,17,624,687,742,28.7,0.22,0.29,0.41,0.04,0.70,0.81,0.90,0.05
June,18,616,704,769,36.2,0.25,0.31,0.40,0.04,0.72,0.84,0.93,0.04
June,19,619,716,788,36.7,0.26,0.32,0.41,0.04,0.76,0.86,0.95,0.04
June,20,604,720,786,40.7,0.26,0.32,0.41,0.04,0.77,0.87,0.97,0.04
June,21,595,715,798,48.5,0.25,0.33,0.41,0.03,0.79,0.87,0.96,0.04
June,22,610,731,804,38.1,0.31,0.37,0.45,0.04,0.84,0.93,1.02,0.04
June,23,655,751,818,37.2,0.34,0.42,0.55,0.05,0.87,1.00,1.13,0.06
June,24,679,774,853,42.9,0.41,0.47,0.61,0.04,0.94,1.07,1.20,0.06
July,Monthly Average,668,819,987,71.9,0.16,0.38,0.71,0.13,0.66,0.96,1.41,0.19
July,1,809,872,927,28.4,0.38,0.49,0.61,0.05,1.02,1.13,1.30,0.06
July,2,845,915,970,30.5,0.44,0.55,0.67,0.05,1.10,1.21,1.33,0.06
