-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
January,Monthly Average,"1,147","1,291","1,517",70.3,1.78,2.89,4.49,0.48,0.64,0.80,0.99,0.06
January,1,"1,191","1,339","1,507",71.9,2.29,3.27,4.28,0.45,0.72,0.84,0.96,0.06
January,2,"1,194","1,345","1,511",74.4,2.32,3.32,4.44,0.46,0.73,0.85,0.98,0.07
January,3,"1,197","1,347","1,517",76.9,2.33,3.33,4.49,0.46,0.72,0.85,0.99,0.07
January,4,"1,202","1,342","1,516",78.2,2.31,3.29,4.48,0.47,0.71,0.85,0.99,0.07
January,5,"1,202","1,323","1,493",75.0,2.24,3.19,4.34,0.46,0.70,0.83,0.96,0.07
January,6,"1,156","1,285","1,413",71.0,2.07,2.94,3.88,0.44,0.64,0.79,0.90,0.07
January,7,"1,149","1,254","1,366",64.3,1.90,2.68,3.51,0.45,0.65,0.78,0.88,0.06
January,8,"1,147","1,253","1,357",58.9,1.90,2.66,3.46,0.41,0.65,0.78,0.89,0.06
January,9,"1,153","1,252","1,366",53.5,1.93,2.67,3.43,0.37,0.65,0.77,0.87,0.06
January,10,"1,171","1,254","1,370",55.4,1.94,2.68,3.38,0.36,0.66,0.77,0.88,0.05
January,11,"1,175","1,265","1,373",56.9,1.94,2.70,3.33,0.38,0.66,0.78,0.89,0.05
January,12,"1,183","1,282","1,381",58.7,1.96,2.76,3.40,0.39,0.69,0.80,0.90,0.05
January,13,"1,173","1,292","1,394",63.7,1.99,2.82,3.53,0.41,0.68,0.80,0.89,0.05
January,14,"1,167","1,301","1,432",68.1,2.02,2.87,3.66,0.43,0.69,0.81,0.92,0.06
January,15,"1,163","1,310","1,439",66.8,2.06,2.94,3.71,0.43,0.68,0.82,0.93,0.06
January,16,"1,167","1,311","1,438",67.2,2.06,2.93,3.75,0.44,0.68,0.82,0.92,0.06
January,17,"1,171","1,304","1,424",67.2,1.89,2.87,3.73,0.45,0.69,0.81,0.92,0.06
January,18,"1,162","1,276","1,375",56.5,1.81,2.70,3.46,0.39,0.69,0.79,0.94,0.06
January,19,"1,184","1,262","1,345",44.3,1.78,2.60,3.22,0.36,0.70,0.79,0.96,0.06
January,20,"1,206","1,259","1,349",40.6,1.81,2.62,3.16,0.36,0.69,0.78,0.97,0.06
January,21,"1,183","1,257","1,358",44.2,1.86,2.66,3.20,0.36,0.69,0.78,0.94,0.05
January,22,"1,183","1,268","1,387",49.7,1.95,2.77,3.37,0.36,0.67,0.78,0.92,0.05
January,23,"1,182","1,289","1,435",57.0,2.09,2.96,3.70,0.39,0.71,0.80,0.90,0.05
January,24,"1,186","1,319","1,483",64.7,2.22,3.15,4.04,0.43,0.72,0.82,0.94,0.05
February,Monthly Average,"1,067","1,281","1,596",81.4,2.07,3.05,4.68,0.47,0.60,0.80,1.11,0.08
February,1,"1,144","1,345","1,568",91.9,2.57,3.48,4.55,0.49,0.64,0.87,1.08,0.09
February,2,"1,181","1,359","1,596",96.6,2.58,3.55,4.65,0.52,0.70,0.89,1.11,0.09
February,3,"1,175","1,363","1,594",98.1,2.57,3.56,4.68,0.53,0.70,0.89,1.11,0.09
February,4,"1,168","1,356","1,573",97.3,2.59,3.54,4.64,0.53,0.70,0.88,1.09,0.09
