-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
January,Monthly Average,"1,137","1,262","1,580",79.4,1.49,2.94,5.95,0.88,1.44,2.01,2.65,0.24
January,1,"1,165","1,315","1,542",91.6,1.68,3.45,5.55,0.99,1.54,2.18,2.61,0.24
January,2,"1,228","1,363","1,580",84.8,2.28,3.88,5.95,0.78,1.87,2.30,2.63,0.20
January,3,"1,162","1,338","1,570",95.3,1.65,3.53,5.80,0.96,1.52,2.24,2.65,0.24
January,4,"1,234","1,359","1,520",76.5,2.39,3.80,5.20,0.70,1.85,2.28,2.59,0.20
January,5,"1,163","1,310","1,431",71.3,1.69,3.29,4.45,0.72,1.55,2.17,2.52,0.21
January,6,"1,163","1,270","1,406",60.6,1.82,2.96,4.16,0.64,1.66,2.06,2.47,0.20
January,7,"1,148","1,214","1,354",56.7,1.65,2.37,3.95,0.68,1.55,1.85,2.28,0.21
January,8,"1,148","1,225","1,326",43.9,1.54,2.58,3.72,0.58,1.55,1.86,2.19,0.18
January,9,"1,155","1,206","1,287",34.2,1.53,2.32,3.30,0.48,1.50,1.81,2.11,0.16
January,10,"1,148","1,223","1,320",41.5,1.66,2.63,4.06,0.69,1.49,1.88,2.10,0.18
January,11,"1,150","1,223","1,339",47.6,1.51,2.61,4.12,0.75,1.49,1.88,2.17,0.20
January,12,"1,137","1,248","1,355",58.7,1.63,2.91,4.43,0.83,1.47,1.97,2.21,0.18
January,13,"1,157","1,249","1,374",66.0,1.61,2.80,4.19,0.83,1.56,1.97,2.27,0.22
January,14,"1,155","1,268","1,406",61.7,1.92,3.02,4.27,0.78,1.68,2.04,2.28,0.15
January,15,"1,156","1,264","1,431",76.8,1.70,2.88,4.59,0.84,1.60,2.02,2.39,0.21
January,16,"1,170","1,281","1,452",65.9,2.01,3.09,4.66,0.76,1.77,2.08,2.41,0.14
January,17,"1,160","1,251","1,426",66.7,1.78,2.73,4.12,0.71,1.66,2.00,2.30,0.17
January,18,"1,163","1,230","1,385",48.7,1.73,2.61,3.98,0.58,1.65,1.95,2.24,0.13
January,19,"1,159","1,215","1,377",46.5,1.54,2.47,4.14,0.59,1.48,1.86,2.19,0.16
January,20,"1,160","1,219","1,333",36.6,1.73,2.60,3.70,0.54,1.55,1.87,2.13,0.13
January,21,"1,141","1,210","1,365",44.7,1.50,2.41,3.99,0.64,1.44,1.83,2.17,0.19
January,22,"1,148","1,241","1,355",50.0,1.73,3.06,4.88,0.91,1.55,1.96,2.27,0.19
January,23,"1,140","1,250","1,394",74.0,1.49,2.97,4.83,1.04,1.46,1.97,2.31,0.24
January,24,"1,165","1,316","1,465",83.9,1.91,3.64,5.20,0.99,1.74,2.16,2.51,0.21
February,Monthly Average,"1,142","1,327","1,678",112.4,1.76,3.66,6.50,1.04,1.50,2.08,2.73,0.26
February,1,"1,336","1,463","1,643",74.4,3.77,4.96,6.22,0.65,2.16,2.40,2.66,0.13
February,2,"1,308","1,473","1,670",86.5,3.55,4.93,6.50,0.75,2.14,2.43,2.70,0.14
February,3,"1,360","1,494","1,678",78.8,3.89,5.07,6.45,0.66,2.21,2.47,2.73,0.13
February,4,"1,361","1,481","1,674",88.6,3.88,4.92,6.41,0.74,2.23,2.46,2.70,0.14
February,5,"1,311","1,461","1,663",95.0,3.29,4.77,6.49,0.83,2.14,2.42,2.70,0.16
February,6,"1,234","1,389","1,644",107.8,2.74,4.22,6.48,1.01,1.95,2.27,2.67,0.19
February,7,"1,145","1,291","1,632",130.3,1.91,3.21,6.38,1.29,1.60,2.01,2.64,0.27
February,8,"1,149","1,278","1,505",93.0,2.07,3.22,5.49,0.94,1.69,1.98,2.38,0.19
February,9,"1,171","1,279","1,433",64.7,1.95,3.31,5.05,0.66,1.71,1.99,2.18,0.13
February,10,"1,144","1,258","1,368",60.1,1.99,3.06,4.34,0.66,1.66,1.93,2.16,0.13
February,11,"1,151","1,268","1,406",54.3,1.85,3.18,4.27,0.58,1.67,1.93,2.17,0.11
February,12,"1,155","1,275","1,423",63.4,2.03,3.23,4.44,0.67,1.65,1.95,2.25,0.15
February,13,"1,142","1,288","1,425",63.3,1.91,3.35,4.43,0.64,1.63,1.97,2.24,0.14
February,14,"1,161","1,289","1,416",61.9,1.92,3.32,4.68,0.66,1.58,1.97,2.27,0.14
February,15,"1,174","1,296","1,427",63.3,1.96,3.40,4.52,0.60,1.65,1.99,2.29,0.14
February,16,"1,208","1,303","1,409",56.5,2.36,3.48,4.94,0.58,1.76,2.00,2.25,0.13
February,17,"1,177","1,284","1,435",66.0,2.07,3.24,4.56,0.64,1.66,1.96,2.26,0.14
February,18,"1,161","1,257","1,433",56.4,2.07,2.97,4.55,0.61,1.67,1.91,2.16,0.12
February,19,"1,173","1,234","1,359",45.8,1.76,2.73,3.67,0.47,1.60,1.83,2.09,0.11
February,20,"1,144","1,242","1,392",56.2,1.78,2.85,4.26,0.65,1.54,1.84,2.10,0.15
